dataset,budget,method,query,seed_mean,seed_std,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean,n_entities_std
mpg,0.2,parc,having_top_groups,21.0,,0.008966283776770577,,0.6772342769999682,,234.0,
mpg,0.2,parc,selection_groupby,21.0,,0.0165431187241583,,0.6772342769999682,,234.0,
txhousing,0.2,dependency_truth,category_join_filter,21.0,,0.0,,0.7381525600000032,,300.0,
txhousing,0.2,dependency_truth,geo_join_groupby,21.0,,0.0,,0.7381525600000032,,300.0,
txhousing,0.2,dependency_truth,having_top_groups,21.0,,0.0,,0.7381525600000032,,300.0,
txhousing,0.2,dependency_truth,selection_groupby,21.0,,0.0,,0.7381525600000032,,300.0,
txhousing,0.2,iterative_truth,category_join_filter,21.0,,0.0,,0.6424371340000334,,300.0,
txhousing,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.6424371340000334,,300.0,
txhousing,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.6424371340000334,,300.0,
txhousing,0.2,iterative_truth,selection_groupby,21.0,,0.0,,0.6424371340000334,,300.0,
txhousing,0.2,majority,category_join_filter,21.0,,0.02330021157045066,,0.22765681900000345,,300.0,
txhousing,0.2,majority,geo_join_groupby,21.0,,0.019027146430770723,,0.22765681900000345,,300.0,
txhousing,0.2,majority,having_top_groups,21.0,,0.44631297002724796,,0.22765681900000345,,300.0,
txhousing,0.2,majority,selection_groupby,21.0,,0.038647507786967975,,0.22765681900000345,,300.0,
txhousing,0.2,no_repair,category_join_filter,21.0,,0.8253756525338628,,0.1610680420000108,,300.0,
txhousing,0.2,no_repair,geo_join_groupby,21.0,,0.5571810345488414,,0.1610680420000108,,300.0,
txhousing,0.2,no_repair,having_top_groups,21.0,,4.045460817438692,,0.1610680420000108,,300.0,
txhousing,0.2,no_repair,selection_groupby,21.0,,1.1965639412917553,,0.1610680420000108,,300.0,
txhousing,0.2,parc,category_join_filter,21.0,,0.0,,0.7910053759999869,,300.0,
txhousing,0.2,parc,geo_join_groupby,21.0,,0.0,,0.7910053759999869,,300.0,
txhousing,0.2,parc,having_top_groups,21.0,,0.0,,0.7910053759999869,,300.0,
txhousing,0.2,parc,selection_groupby,21.0,,0.0,,0.7910053759999869,,300.0,
wine,0.2,dependency_truth,category_join_filter,21.0,,0.0,,0.4116445749999684,,178.0,
