method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
parc,0.2,13000,600,12,4814,691,188,all,1.0,coordinated,0.9952380952380953,0.9935793650793652,0.004897861267836,1.0,0.993710002520745,1.3571420190000936,600.0,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.0016666666666666,0.0016666666666666,0.0026192295099858,0.0022650056625141,0.9884596890527328,0.9977349943374858,1.0,0.6666666666666666,0.8
majority,0.2,13001,600,12,4856,755,214,all,1.0,coordinated,0.9857142857142858,0.9824285714285717,0.0671601496513911,0.985,0.9154378795273506,0.3768220840001959,600.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0060812278288568,0.0220412074748442,0.9732951835956128,0.9779587925251556,0.0,0.0,0.0
dependency_truth,0.2,13001,600,12,4856,755,214,all,1.0,coordinated,0.993095238095238,0.9897849206349209,0.0062075775674301,1.0,0.9921839673552684,1.3047721520006237,600.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0017374936653876,0.0038332534738859,0.99236276849642,0.996166746526114,1.0,1.0,1.0
parc,0.2,13001,600,12,4856,755,214,all,1.0,coordinated,0.993095238095238,0.9897849206349209,0.006263752761418,1.0,0.9921132365194044,1.412021746999926,600.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0017736914500832,0.0036735345791407,0.9922061396532528,0.9963264654208592,1.0,1.0,1.0
majority,0.2,13002,600,12,4724,730,204,all,1.0,coordinated,0.9828571428571428,0.9828571428571428,0.051202197898352,0.9755555555555556,0.9401098693613994,0.3799666719996821,600.0,1.0,1.0,1.0,0.0,0.0,0.0084376908979841,0.0207969749854566,0.9682197296519988,0.9792030250145434,0.0,0.0,0.0
dependency_truth,0.2,13002,600,12,4724,730,204,all,1.0,coordinated,0.9923809523809524,0.9923809523809524,0.0171582586689446,1.0,0.9799303468328832,1.2451331000002028,600.0,1.0,1.0,1.0,0.0,0.0,0.0032070861331704,0.008871436881908,0.9878243223655604,0.991128563118092,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,13002,600,12,4724,730,204,all,1.0,coordinated,0.9935714285714284,0.9935714285714284,0.0165358260516562,1.0,0.980658393133496,1.3517058340003132,600.0,1.0,1.0,1.0,0.0,0.0,0.0026343921808185,0.0079988365328679,0.9899854862119012,0.992001163467132,1.0,0.7777777777777778,0.8750000000000001
majority,0.2,13000,900,12,7146,1076,290,all,1.0,coordinated,0.9834920634920636,0.9813065255731924,0.0383284219072389,0.977037037037037,0.956836512113231,0.5951455430003989,900.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.0022222222222222,0.0022222222222222,0.0064961429151441,0.0178182162828167,0.9758922685751954,0.9821817837171832,0.0,0.0,0.0
dependency_truth,0.2,13000,900,12,7146,1076,290,all,1.0,coordinated,0.9938095238095238,0.991601058201058,0.0118047141174418,1.0,0.9867061410446764,1.917524819999926,900.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.0022222222222222,0.0022222222222222,0.0019792935444579,0.0036963321012226,0.9926345609065156,0.9963036678987772,1.0,0.6666666666666666,0.8
parc,0.2,13000,900,12,7146,1076,290,all,1.0,coordinated,0.994126984126984,0.9919178130511463,0.0120071158863737,1.0,0.986478206632905,2.057135682999615,900.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.0022222222222222,0.0022222222222222,0.001801664636622,0.0035067766088522,0.9932923948984412,0.9964932233911478,1.0,0.6666666666666666,0.8
majority,0.2,13001,900,12,7163,1110,316,all,1.0,coordinated,0.9846031746031746,0.9835091710758378,0.0653538745522624,0.9822222222222222,0.9217263663131796,0.6032894700001634,900.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.0011111111111111,0.0011111111111111,0.007095422063985,0.0167794832681857,0.973475552199358,0.9832205167318144,0.0,0.0,0.0
dependency_truth,0.2,13001,900,12,7163,1110,316,all,1.0,coordinated,0.9953968253968254,0.9942908289241624,0.005567930753614,1.0,0.9933313491328896,2.1392525410001326,900.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.0011111111111111,0.0011111111111111,0.0011867787793854,0.0037181809514729,0.9955225302467372,0.996281819048527,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,13001,900,12,7163,1110,316,all,1.0,coordinated,0.9953968253968254,0.9942908289241624,0.005567930753614,1.0,0.9933313491328896,2.099280002000341,900.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.0011111111111111,0.0011111111111111,0.0011867787793854,0.0037181809514729,0.9955225302467372,0.996281819048527,1.0,0.7777777777777778,0.8750000000000001
majority,0.2,13002,900,12,7220,1062,288,all,1.0,coordinated,0.9857142857142858,0.9857142857142858,0.0473905314172483,0.9848148148148148,0.9428710583016484,0.597627033000208,900.0,1.0,1.0,1.0,0.0,0.0,0.0064037504228891,0.019982528936449,0.9713203463203464,0.980017471063551,0.0,0.0,0.0
dependency_truth,0.2,13002,900,12,7220,1062,288,all,1.0,coordinated,0.9952380952380953,0.9952380952380953,0.0102007007500049,1.0,0.9877031292749492,1.8244552650003245,900.0,1.0,1.0,1.0,0.0,0.0,0.0019573727707699,0.0048045424765232,0.9911908646003262,0.9951954575234768,1.0,0.6666666666666666,0.8
parc,0.2,13002,900,12,7220,1062,288,all,1.0,coordinated,0.996031746031746,0.996031746031746,0.0095166120678671,1.0,0.9885277932166608,1.9432336790005136,900.0,1.0,1.0,1.0,0.0,0.0,0.0016673916195447,0.0042585717405547,0.9924902046147148,0.9957414282594452,1.0,0.6666666666666666,0.8
