operator_label,method,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,group_precision_mean,group_precision_std,group_recall_mean,group_recall_std,group_f1_mean,group_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,n_duplicates_mean,n_duplicates_std
provenance,parc,0.9984126984126984,0.0014547859349066192,0.9984126984126984,0.0014547859349066192,0.003023261199308897,0.003942075143902225,1.0,0.0,0.9788072180241872,0.025874840031625313,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5185185185185185,0.12830005981991682,0.6769230769230768,0.10658774200423869,0.0,0.0,0.0,0.0,0.0005594947518303333,0.0005214111410724549,0.0022887298917884332,0.00172307471951112,0.9967182171476848,0.0029043028885277575,0.9977112701082115,0.001723074719511165,0.6865765563337239,0.1461747469975085,300.0,0.0,2291.3333333333335,7.767453465154075,0.0,0.0,0.0,0.0
schema,dependency_truth,0.9976190476190476,0.0004761904761904079,0.9976190476190476,0.0004761904761904079,0.0043611111637652,0.0033203151332758716,1.0,0.0,0.9932051860680273,0.005118003819885637,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0008363685156142,0.00028193226846167063,0.0033607756270989,0.001110761106373441,0.9954201842457904,0.0015299495919561964,0.9966392243729011,0.001110761106373394,0.8318801590003204,0.20353798456367914,300.0,0.0,2291.3333333333335,7.767453465154075,189.0,6.244997998398398,0.0,0.0
schema,majority,0.9973015873015872,0.000991269523555288,0.9973015873015872,0.000991269523555288,0.009818759799973133,0.006031943969021549,0.9981481481481481,0.0032075014954979896,0.984696218427763,0.009049065150788668,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005166920262208666,8.153171042472029e-05,0.0038344573165178335,0.0010359948967577125,0.997165781856666,0.00022766187112709165,0.9961655426834821,0.00103599489675761,0.23485893766640706,0.014439497357192629,300.0,0.0,2291.3333333333335,7.767453465154075,189.0,6.244997998398398,0.0,0.0
schema,parc,0.9974603174603175,0.0007273929674532036,0.9974603174603175,0.0007273929674532036,0.0043611111637652,0.0033203151332758716,1.0,0.0,0.9932051860680273,0.005118003819885637,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0009115338794145666,0.0003580236210058015,0.0037184294182291,0.0013597954019431016,0.9950629137920569,0.001671232669324965,0.9962815705817709,0.0013597954019430372,0.7937193443331125,0.017793819023916226,300.0,0.0,2291.3333333333335,7.767453465154075,189.0,6.244997998398398,0.0,0.0
trust,dependency_truth,0.9973015873015872,0.0009912695235552702,0.9973015873015872,0.0009912695235552702,0.007403122202806734,0.0057916622473816945,1.0,0.0,0.9351413574717321,0.06037921811751833,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0010856092984776,0.0003439334234305888,0.004814860356464467,0.0020871313079657773,0.9931901993093613,0.001767282524698414,0.9951851396435355,0.0020871313079657227,0.6216300773333691,0.02125684837840306,300.0,0.0,2291.3333333333335,7.767453465154075,0.0,0.0,0.0,0.0
trust,majority,0.9977777777777779,0.001198386418296949,0.9977777777777779,0.001198386418296949,0.007357884130870467,0.004877012817719216,0.9985185185185186,0.002566001196398297,0.9351371420332849,0.05392867117368994,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045963897164493335,0.00019102129564436827,0.003806210835421434,0.0017462088659218368,0.9971697336385043,0.0007637662162242781,0.9961937891645786,0.001746208865921819,0.21321695599999654,0.0030092951017204254,300.0,0.0,2291.3333333333335,7.767453465154075,0.0,0.0,0.0,0.0
trust,parc,0.9973015873015872,0.0009912695235552702,0.9973015873015872,0.0009912695235552702,0.007403122202806734,0.0057916622473816945,1.0,0.0,0.9351413574717321,0.06037921811751833,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0010856092984776,0.0003439334234305888,0.004814860356464467,0.0020871313079657773,0.9931901993093613,0.001767282524698414,0.9951851396435355,0.0020871313079657227,0.6130213916667344,0.016447028277974944,300.0,0.0,2291.3333333333335,7.767453465154075,0.0,0.0,0.0,0.0
trust+provenance,dependency_truth,0.9982539682539683,0.0019245008972987787,0.9982539682539683,0.0019245008972987787,0.0028888978616063636,0.003713187110736277,1.0,0.0,0.979708379534472,0.024354992624375273,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5555555555555555,0.19245008972987526,0.701923076923077,0.14988901219346065,0.0,0.0,0.0,0.0,0.0006344331997115,0.000709376042710325,0.002391538480450867,0.002153064163446351,0.9963837847527293,0.0037479309326606796,0.997608461519549,0.0021530641634464015,0.608900763333016,0.008780439725864253,300.0,0.0,2291.3333333333335,7.767453465154075,0.0,0.0,0.0,0.0
trust+provenance,majority,0.9977777777777779,0.001198386418296949,0.9977777777777779,0.001198386418296949,0.007357884130870467,0.004877012817719216,0.9985185185185186,0.002566001196398297,0.9351371420332849,0.05392867117368994,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045963897164493335,0.00019102129564436827,0.003806210835421434,0.0017462088659218368,0.9971697336385043,0.0007637662162242781,0.9961937891645786,0.001746208865921819,0.21113199866643595,0.014071585724164172,300.0,0.0,2291.3333333333335,7.767453465154075,0.0,0.0,0.0,0.0
trust+provenance,parc,0.9982539682539683,0.0019245008972987787,0.9982539682539683,0.0019245008972987787,0.0028888978616063636,0.003713187110736277,1.0,0.0,0.979708379534472,0.024354992624375273,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5555555555555555,0.19245008972987526,0.701923076923077,0.14988901219346065,0.0,0.0,0.0,0.0,0.0006344331997115,0.000709376042710325,0.002391538480450867,0.002153064163446351,0.9963837847527293,0.0037479309326606796,0.997608461519549,0.0021530641634464015,0.6011717196667329,0.028375955889491013,300.0,0.0,2291.3333333333335,7.767453465154075,0.0,0.0,0.0,0.0
