method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
majority,0.3,15001,150,12,1376,371,192,all,1.0,independent,0.9361904761904762,0.9361904761904762,0.3056423538297427,0.94,-0.2422239147884728,0.0922432289999051,150.0,1.0,1.0,1.0,0.0,0.0,0.0428010103845074,0.0826017557861133,0.8828725038402457,0.9173982442138868,0.0,0.0,0.0
iterative_truth,0.3,15001,150,12,1376,371,192,all,1.0,independent,0.9914285714285714,0.9914285714285714,0.1365950657980078,0.9977777777777778,0.4448359160624999,0.2885949460005577,150.0,1.0,1.0,1.0,0.0,0.0,0.0051922537187763,0.0155626496408619,0.985223642172524,0.984437350359138,0.0,0.0,0.0
source_dependence,0.3,15001,150,12,1376,371,192,all,1.0,independent,0.9809523809523808,0.9809523809523808,0.0644825712325546,0.9866666666666668,0.7379231279027805,0.1174899249999725,150.0,1.0,1.0,1.0,0.0,0.0,0.011507156890261,0.0171588188347964,0.9677799607072692,0.9828411811652036,1.0,1.0,1.0
dependency_truth,0.3,15001,150,12,1376,371,192,all,1.0,independent,1.0,1.0,0.0,1.0,1.0,0.3077662409996264,150.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
parc,0.3,15001,150,12,1376,371,192,all,1.0,independent,1.0,1.0,0.0,1.0,1.0,0.3264296390007075,150.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
no_repair,0.3,15002,150,12,1349,378,189,all,1.0,independent,0.9304761904761903,0.9304761904761903,0.1794225417288137,0.8977777777777778,0.0,0.0755732249999709,150.0,1.0,1.0,1.0,0.0,0.0,0.0589585425333524,0.0339805825242718,0.8531618435155413,0.9660194174757282,0.0,0.0,0.0
majority,0.3,15002,150,12,1349,378,189,all,1.0,independent,0.940952380952381,0.940952380952381,0.2648520990853,0.94,-0.4761361450648036,0.0961678379999284,150.0,1.0,1.0,1.0,0.0,0.0,0.0416009180892268,0.0663430420711974,0.8883756735950731,0.9336569579288024,0.0,0.0,0.0
iterative_truth,0.3,15002,150,12,1349,378,189,all,1.0,independent,0.9733333333333334,0.9733333333333334,0.1081273532806571,1.0,0.3973591487513032,0.2757799889996022,150.0,1.0,1.0,1.0,0.0,0.0,0.0162100129106297,0.0372168284789644,0.9546730846369836,0.9627831715210357,0.0,0.0,0.0
source_dependence,0.3,15002,150,12,1349,378,189,all,1.0,independent,0.9838095238095238,0.9838095238095238,0.0467325413892862,0.9955555555555556,0.7395391853275628,0.1199001069999212,150.0,1.0,1.0,1.0,0.0,0.0,0.0090374408262803,0.012135922330097,0.9748502994011976,0.9878640776699028,1.0,1.0,1.0
dependency_truth,0.3,15002,150,12,1349,378,189,all,1.0,independent,0.9952380952380953,0.9952380952380953,0.0090722999230244,1.0,0.949436119700407,0.2962305150003885,150.0,1.0,1.0,1.0,0.0,0.0,0.0018648687419308,0.0028317152103559,0.9947538337368844,0.997168284789644,1.0,1.0,1.0
