suite,dataset,budget,seed,method,margin_threshold,width_threshold,n_groups,certified_groups,certified_fraction,conditional_coverage,mean_certified_width,mean_relative_miss
public-tabular,wine,0.2,11,parc,2.0,0.25,3,2,0.6666666666666666,1.0,0.10952956934847247,0.0
public-tabular,wine,0.2,11,parc,2.0,0.5,3,3,1.0,1.0,0.18988747158815733,0.0
public-tabular,wine,0.2,11,parc,2.0,1.0,3,3,1.0,1.0,0.18988747158815733,0.0
public-tabular,wine,0.2,11,dependency_truth,0.0,0.01,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,dependency_truth,0.0,0.02,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,dependency_truth,0.0,0.05,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,dependency_truth,0.0,0.1,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,dependency_truth,0.0,0.25,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,dependency_truth,0.0,0.5,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,dependency_truth,0.0,1.0,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.35,11,parc,0.0,0.01,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,parc,0.0,0.02,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,parc,0.0,0.05,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,parc,0.0,0.1,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,parc,0.0,0.25,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,parc,0.0,0.5,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,parc,0.0,1.0,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,parc,1.0,0.01,5,1,0.2,0.0,0.0,445548.0
public-tabular,wine,0.35,11,parc,1.0,0.02,5,1,0.2,0.0,0.0,445548.0
public-tabular,wine,0.35,11,parc,1.0,0.05,5,1,0.2,0.0,0.0,445548.0
public-tabular,wine,0.35,11,parc,1.0,0.1,5,1,0.2,0.0,0.0,445548.0
public-tabular,wine,0.35,11,parc,1.0,0.25,5,1,0.2,0.0,0.0,445548.0
public-tabular,wine,0.35,11,parc,1.0,0.5,5,1,0.2,0.0,0.0,445548.0
public-tabular,wine,0.35,11,parc,1.0,1.0,5,2,0.4,0.5,0.45992824552256056,445548.0
public-tabular,wine,0.35,11,parc,1.5,0.01,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,1.5,0.02,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,1.5,0.05,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,1.5,0.1,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,1.5,0.25,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,1.5,0.5,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,1.5,1.0,5,1,0.2,1.0,0.9198564910451211,0.0
public-tabular,wine,0.35,11,parc,2.0,0.01,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,2.0,0.02,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,2.0,0.05,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,2.0,0.1,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,2.0,0.25,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,2.0,0.5,5,0,0.0,0.0,,0.0
public-tabular,wine,0.35,11,parc,2.0,1.0,5,1,0.2,1.0,0.9198564910451211,0.0
public-tabular,wine,0.35,11,dependency_truth,0.0,0.01,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,dependency_truth,0.0,0.02,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,dependency_truth,0.0,0.05,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,dependency_truth,0.0,0.1,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,dependency_truth,0.0,0.25,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,dependency_truth,0.0,0.5,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,wine,0.35,11,dependency_truth,0.0,1.0,5,5,1.0,0.0,0.0,207086.40928996523
public-tabular,breast_cancer,0.2,11,parc,0.0,0.01,2,2,1.0,0.5,0.0,0.0007453783509600533
public-tabular,breast_cancer,0.2,11,parc,0.0,0.02,2,2,1.0,0.5,0.0,0.0007453783509600533
