method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
dependency_truth,0.2,11000,300,12,2442,365,108,all,0.25,coordinated,0.9866666666666668,0.9833777777777778,0.0207649555888252,1.0,0.9743904432685674,0.7625921609997022,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0059946363779775,0.0066620721341603,0.9827272727272728,0.9933379278658396,1.0,0.6666666666666666,0.8
parc,0.2,11000,300,12,2442,365,108,all,0.25,coordinated,0.9866666666666668,0.9833777777777778,0.0290585797538782,1.0,0.96416186186585,0.7523877599996922,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0058368827890834,0.0082701585113714,0.983147346845821,0.9917298414886284,1.0,0.6666666666666666,0.8
provenance_unaware,0.2,11001,300,12,2386,360,98,all,0.25,coordinated,0.9890476190476192,0.9890476190476192,0.0663703610593059,0.9877777777777778,0.9240628991856008,0.247012734999771,300.0,1.0,1.0,1.0,0.0,0.0,0.0060240963855421,0.0105908584169453,0.9782309176081564,0.9894091415830546,0.0,0.0,0.0
dependency_truth,0.2,11001,300,12,2386,360,98,all,0.25,coordinated,0.9971428571428572,0.9971428571428572,0.0073542147023437,1.0,0.9915857359467488,0.7446027100004358,300.0,1.0,1.0,1.0,0.0,0.0,0.001372578923288,0.0033444816053511,0.994991652754591,0.9966555183946488,1.0,0.6666666666666666,0.8
parc,0.2,11001,300,12,2386,360,98,all,0.25,coordinated,0.9971428571428572,0.9971428571428572,0.0073542147023437,1.0,0.9915857359467488,0.7644385969997529,300.0,1.0,1.0,1.0,0.0,0.0,0.001372578923288,0.0033444816053511,0.994991652754591,0.9966555183946488,1.0,0.6666666666666666,0.8
provenance_unaware,0.2,11002,300,12,2405,381,104,all,0.25,coordinated,0.9957142857142856,0.9957142857142856,0.0145767091540698,0.9966666666666668,0.9797819454150892,0.2056806310001775,300.0,1.0,1.0,1.0,0.0,0.0,0.0023728103845348,0.0047885075818036,0.9865506329113924,0.9952114924181964,0.0,0.0,0.0
dependency_truth,0.2,11002,300,12,2405,381,104,all,0.25,coordinated,0.9985714285714286,0.9985714285714286,0.0018526774006897,1.0,0.9974303162380846,0.641743929999393,300.0,1.0,1.0,1.0,0.0,0.0,0.0006978854072161,0.0019952114924181,0.9960175228992432,0.9980047885075818,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,11002,300,12,2405,381,104,all,0.25,coordinated,0.9990476190476192,0.9990476190476192,0.0005414394623577,1.0,0.9992490175602278,0.6511970089995884,300.0,1.0,1.0,1.0,0.0,0.0,0.0004187312443296,0.0011971268954509,0.9976086090075728,0.9988028731045492,1.0,0.7777777777777778,0.8750000000000001
provenance_unaware,0.2,11000,300,12,2442,365,108,all,0.5,coordinated,0.9395238095238096,0.9363920634920636,0.1510172343591194,0.9422222222222222,0.8137494484782215,0.212731800000256,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0369932165956775,0.0390535263036986,0.899183147033534,0.9609464736963014,0.0,0.0,0.0
dependency_truth,0.2,11000,300,12,2442,365,108,all,0.5,coordinated,0.9866666666666668,0.9833777777777778,0.0293802656271529,1.0,0.9637651245559103,0.6729871269999421,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0058368827890834,0.0084998851366873,0.9831435079726653,0.9915001148633128,1.0,0.6666666666666666,0.8
