method,budget,seed,cluster,attribute,attribute_type,margin,margin_bin,independent_groups,filtered_claims,correct,incorrect,low_margin,has_independent_support,n_attacked_records,n_duplicates
parc,0.2,0,K:E00027,revenue,numeric,0.4456178344354748,"[0.25,0.75)",5,2,1,0,1,1,379,102
parc,0.2,0,K:E00027,employees,numeric,0.4456178344354748,"[0.25,0.75)",5,0,1,0,1,1,379,102
parc,0.2,0,K:E00028,name,categorical,6.264347124453167,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00028,city,categorical,5.665603949871894,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00028,state,categorical,7.87261582011981,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00028,zip,categorical,7.351219361552312,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00028,category,categorical,7.414691986251605,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00028,revenue,numeric,1.91195663406572,"[1.5,3)",6,2,1,0,0,1,379,102
parc,0.2,0,K:E00028,employees,numeric,1.91195663406572,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00029,name,categorical,4.333145379937019,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00029,city,categorical,5.302771085365607,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00029,state,categorical,4.338256212510027,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00029,zip,categorical,4.655568197803806,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00029,category,categorical,0.21634887442837192,"[0,0.25)",6,0,1,0,1,1,379,102
parc,0.2,0,K:E00029,revenue,numeric,0.4456178344354748,"[0.25,0.75)",6,1,1,0,1,1,379,102
parc,0.2,0,K:E00029,employees,numeric,0.5794980641308445,"[0.25,0.75)",6,0,1,0,1,1,379,102
parc,0.2,0,K:E00030,name,categorical,0.1549735371603127,"[0,0.25)",6,0,1,0,1,1,379,102
parc,0.2,0,K:E00030,city,categorical,3.150213303901839,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00030,state,categorical,2.3832843774198658,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00030,zip,categorical,3.5297471012124046,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00030,category,categorical,2.287250103820069,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00030,revenue,numeric,0.5581846249291876,"[0.25,0.75)",6,0,1,0,1,1,379,102
parc,0.2,0,K:E00030,employees,numeric,0.5581846249291876,"[0.25,0.75)",6,0,0,1,1,1,379,102
parc,0.2,0,K:E00031,name,categorical,1.958638750748612,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00031,city,categorical,3.37127087818706,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00031,state,categorical,2.48003520931611,"[1.5,3)",4,0,1,0,0,1,379,102
