method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1,operator_label
parc,0.25,9002,300,12,2285,151,0,fd,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0015614174181784,1.0,0.9869322348789504,0.5832546139999977,300.0,1.0,1.0,1.0,0.0,0.0,0.0008837175049709,0.0024834437086092,0.9950454170107348,0.9975165562913908,1.0,1.0,1.0,fd
majority,0.25,9000,300,12,2289,125,0,key,1.0,coordinated,0.9961904761904762,0.9961904761904762,0.0198473349224387,0.9944444444444444,0.8363048943977461,0.2387267779995454,300.0,1.0,1.0,1.0,0.0,0.0,0.002275960170697,0.0050942435048395,0.9838790931989924,0.9949057564951604,0.0,0.0,0.0,key
dependency_truth,0.25,9000,300,12,2289,125,0,key,1.0,coordinated,0.9957142857142856,0.9957142857142856,0.0161228939247137,1.0,0.8670230117074247,1.0320503969996937,300.0,1.0,1.0,1.0,0.0,0.0,0.002275960170697,0.0066225165562913,0.9838546922300706,0.9933774834437086,1.0,1.0,1.0,key
parc,0.25,9000,300,12,2289,125,0,key,1.0,coordinated,0.9957142857142856,0.9957142857142856,0.0161228939247137,1.0,0.8670230117074247,0.6555540090002978,300.0,1.0,1.0,1.0,0.0,0.0,0.002275960170697,0.0066225165562913,0.9838546922300706,0.9933774834437086,1.0,1.0,1.0,key
majority,0.25,9001,300,12,2300,122,0,key,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0139742365220352,0.9955555555555556,0.9102839213180728,0.2265789699995366,300.0,1.0,1.0,1.0,0.0,0.0,0.0006633254716981,0.00434439178515,0.9964426877470356,0.99565560821485,0.0,0.0,0.0,key
dependency_truth,0.25,9001,300,12,2300,122,0,key,1.0,coordinated,0.9938095238095238,0.9938095238095238,0.0212362578894653,1.0,0.8636609749150368,0.6259929440002452,300.0,1.0,1.0,1.0,0.0,0.0,0.0026533018867924,0.0078988941548183,0.9858712715855572,0.9921011058451816,1.0,1.0,1.0,key
parc,0.25,9001,300,12,2300,122,0,key,1.0,coordinated,0.9938095238095238,0.9938095238095238,0.0212362578894653,1.0,0.8636609749150368,0.5908968820003793,300.0,1.0,1.0,1.0,0.0,0.0,0.0026533018867924,0.0078988941548183,0.9858712715855572,0.9921011058451816,1.0,1.0,1.0,key
majority,0.25,9002,300,12,2285,137,0,key,1.0,coordinated,0.9957142857142856,0.9957142857142856,0.0103904296742018,0.9933333333333332,0.9142792306065322,0.2162597720007397,300.0,1.0,1.0,1.0,0.0,0.0,0.0014369880729989,0.006259027443428,0.9904030710172744,0.993740972556572,0.0,0.0,0.0,key
dependency_truth,0.25,9002,300,12,2285,137,0,key,1.0,coordinated,0.9933333333333332,0.9933333333333332,0.013163000453776,1.0,0.8914055951674665,0.6127992680003445,300.0,1.0,1.0,1.0,0.0,0.0,0.0028739761459979,0.006259027443428,0.9809885931558936,0.993740972556572,1.0,1.0,1.0,key
parc,0.25,9002,300,12,2285,137,0,key,1.0,coordinated,0.9933333333333332,0.9933333333333332,0.013163000453776,1.0,0.8914055951674665,0.5903329760003544,300.0,1.0,1.0,1.0,0.0,0.0,0.0028739761459979,0.006259027443428,0.9809885931558936,0.993740972556572,1.0,1.0,1.0,key
